"muni_id";"muni_id_6";"muni_nm";"uf_sigla";"obitos_total";"pop_total";"coef_total";"taxa_ajustada"
"2112456";211245;"Turilândia";"MA";2;25868;7,73156022885418;14,8529326004869
"2102200";210220;"Buriti";"MA";3;28798;10,4173900965345;14,8421279438956
"2103505";210350;"Colinas";"MA";5;41312;12,1030209140201;14,8414041521506
"3202009";320200;"Dores do Rio Preto";"ES";1;6771;14,7688672278836;14,819397993311
"3112059";311205;"Cantagalo";"MG";1;4551;21,9731927049;14,7676056338028
"4121752";412175;"Reserva do Iguaçu";"PR";1;8069;12,3931094311563;14,7630057803468
"4313425";431342;"Novo Machado";"RS";1;3256;30,7125307125307;14,7155172413793
"2933109";293310;"Várzea do Poço";"BA";2;9210;21,7155266015201;14,6643356643357
"3120102";312010;"Couto de Magalhães de Minas";"MG";1;4423;22,6090888537192;14,6643356643357
"4202131";420213;"Bela Vista do Toldo";"SC";1;6362;15,7183275699466;14,6636197440585
"3147709";314770;"Passa Tempo";"MG";2;8057;24,823135161971;14,6571172248804
"4310900";431090;"Jacutinga";"RS";1;3546;28,2007896221094;14,6455696202532
"2517209";251720;"Vieirópolis";"PB";1;5372;18,6150409530901;14,402489626556
"3155603";315560;"Rio Pardo de Minas";"MG";4;31045;12,8845224673861;14,3916951591855
"3138104";313810;"Lassance";"MG";1;6503;15,3775180685837;14,3630136986301
"2931400";293140;"Teodoro Sampaio";"BA";1;7359;13,588802826471;14,3551236749117
"1506708";150670;"Santana do Araguaia";"PA";5;74419;6,71871430683025;14,3520204113132
"4305116";430511;"Centenário";"RS";1;2877;34,7584289190129;14,225
"3513603";351360;"Cunha";"SP";4;21459;18,6401975860944;14,1620561786563
"1200435";120043;"Santa Rosa do Purus";"AC";2;6717;29,7751972606818;14,1265164928848
"2101301";210130;"Bacuri";"MA";2;18654;10,7215610592902;14,1236820961844
"3110202";311020;"Cajuri";"MG";1;3974;25,1635631605435;14,1074380165289
"2111953";211195;"Sucupira do Riachão";"MA";1;5676;17,6180408738548;14,0738255033557
"2911253";291125;"Gavião";"BA";1;4440;22,5225225225225;14,0738255033557
"4200903";420090;"Angelina";"SC";1;4743;21,0837022981236;14,032967032967
"2930907";293090;"Tabocas do Brejo Velho";"BA";2;12516;15,9795461808885;13,8536252192229
"2203008";220300;"Cristalândia do Piauí";"PI";1;8323;12,0148984741079;13,6759259259259
"4300455";430045;"Alegria";"RS";1;3374;29,63841138115;13,6653543307087
"2100402";210040;"Altamira do Maranhão";"MA";1;8189;12,2115032360484;13,5959079283887
"2408607";240860;"Paraná";"RN";1;4276;23,3863423760524;13,547619047619
"2202778";220277;"Colônia do Piauí";"PI";1;7661;13,0531262237306;13,5290322580645
"2105450";210545;"Jatobá";"MA";1;10310;9,69932104752667;13,468085106383
"2904852";290485;"Cabaceiras do Paraguaçu";"BA";2;18911;10,5758553222992;13,4363021420519
"2204659";220465;"Ilha Grande";"PI";1;9457;10,5741778576716;13,0393873085339
"2110856";211085;"São Francisco do Brejão";"MA";1;11941;8,37450799765514;13,0323529411765
"2503100";250310;"Cabaceiras";"PB";1;5661;17,6647235470765;12,8650306748466
"3129657";312965;"Ibiracatu";"MG";1;5369;18,6254423542559;12,8650306748466
"3160454";316045;"Santo Antônio do Retiro";"MG";1;7297;13,7042620254899;12,8345864661654
"4103479";410347;"Cafezal do Sul";"PR";1;4009;24,9438762783737;12,7865853658537
"2200608";220060;"Angical do Piauí";"PI";1;6783;14,7427392009435;12,7694524495677
"2904001";290400;"Boninal";"BA";2;14446;13,8446628824588;12,71912914004
"2508109";250810;"Lagoa";"PB";1;4653;21,491510853213;12,7090909090909
"2909703";290970;"Cristópolis";"BA";2;13947;14,3400014340001;12,6733125795953
"4118857";411885;"Perobal";"PR";1;6160;16,2337662337662;12,6435643564356
"3118106";311810;"Congonhas do Norte";"MG";1;5046;19,8176773682124;12,6325301204819
"3523701";352370;"Itirapuã";"SP";1;6543;15,2835090936879;12,6325301204819
"4305587";430558;"Colinas";"RS";1;2435;41,0677618069815;12,6325301204819
"3108602";310860;"Brasília de Minas";"MG";5;32405;15,4297176361673;12,6026542794819
"4207759";420775;"Iraceminha";"SC";1;3938;25,3936008125952;12,5514705882353
"2110500";211050;"São Bento";"MA";5;45604;10,9639505306552;12,5505458955851
"2616183";261618;"Vertente do Lério";"PE";1;7571;13,2082948091401;12,5306859205776
"2911857";291185;"Heliópolis";"BA";2;12987;15,4000154000154;12,492722615201
"2926707";292670;"Rio de Contas";"BA";2;12932;15,4655119084442;12,4910888363446
"2109304";210930;"Presidente Vargas";"MA";1;11261;8,88020602077968;12,4670050761421
"1200351";120035;"Marechal Thaumaturgo";"AC";2;19299;10,3632312555055;12,4292186762576
"2910750";291075;"Fátima";"BA";3;17845;16,8114317736061;12,4006861469301
"3201159";320115;"Brejetuba";"ES";1;12427;8,04699444757383;12,3352941176471
"2108454";210845;"Peritoró";"MA";2;23364;8,56017805170347;12,2374642164558
"2108306";210830;"Penalva";"MA";3;38731;7,74573339185665;12,2369321153377
"3127073";312707;"Fruta de Leite";"MG";1;5299;18,8714851858841;12,1918604651163
"3305901";330590;"Trajano de Moraes";"RJ";2;10640;18,796992481203;12,1883169426117
"3134301";313430;"Itumirim";"MG";1;6000;16,6666666666667;12,1619047619048
"3130051";313005;"Icaraí de Minas";"MG";1;12097;8,26651235843597;11,9756756756757
"4305439";430543;"Chuí";"RS";1;6770;14,7710487444609;11,9147727272727
"2111706";211170;"São Vicente Ferrer";"MA";2;22350;8,94854586129754;11,9003646381979
"2605152";260515;"Dormentes";"PE";2;19079;10,4827297028146;11,8831558376634
"2919801";291980;"Macaúbas";"BA";6;50161;11,9614840214509;11,8073574793254
"2919108";291910;"Lamarão";"BA";1;8191;12,2085215480405;11,7303149606299
"2206720";220672;"Nazária";"PI";1;8602;11,6252034410602;11,6917808219178
"2104677";210467;"Governador Nunes Freire";"MA";2;25539;7,83116018638161;11,6745303131246
"2201960";220196;"Brasileira";"PI";1;8347;11,9803522223553;11,65
"2929602";292960;"Sapeaçu";"BA";2;17409;11,4883106439198;11,5673156630603
"4113106";411310;"Kaloré";"PR";1;4047;24,7096614776378;11,5337837837838
"2926905";292690;"Rio do Pires";"BA";2;11663;17,148246591786;11,4894750358655
"3171600";317160;"Virgem da Lapa";"MG";2;13740;14,5560407569141;11,4065319912108
"4123857";412385;"Santa Maria do Oeste";"PR";1;9410;10,6269925611052;11,3967391304348
"3156502";315650;"Rubelita";"MG";1;5798;17,247326664367;11,3351351351351
"2112605";211260;"Urbano Santos";"MA";2;33459;5,97746495711169;11,3031270902143
"2101004";210100;"Arari";"MA";3;29932;10,0227181611653;11,1209182302027
"3140605";314060;"Materlândia";"MG";1;4436;22,5428313796213;11,0952380952381
"2108058";210805;"Paulino Neves";"MA";1;16166;6,18582209575653;11,0086206896552
"4101309";410130;"Antônio Olinto";"PR";1;7427;13,4643866971859;11,0086206896552
"2903508";290350;"Belo Campo";"BA";3;17109;17,5346308960196;10,9549179855008
"2704609";270460;"Maravilha";"AL";1;9004;11,1061750333185;10,9145299145299
"2904100";290410;"Boquira";"BA";3;21497;13,9554356421826;10,9102912800294
"2112308";211230;"Tuntum";"MA";4;42040;9,51474785918173;10,8927357008286
"3158102";315810;"Santa Maria do Salto";"MG";1;5217;19,1681042744873;10,8652849740933
"2106326";210632;"Maracaçumé";"MA";2;21586;9,26526452330214;10,8545189229407
"3164308";316430;"São Roque de Minas";"MG";1;7076;14,1322781232335;10,8345454545455
"2311207";231120;"Potengi";"CE";1;11106;9,00414190527643;10,8077956989247
"2924108";292410;"Pedrão";"BA";1;7394;13,5244793075467;10,8037974683544
"5100359";510035;"Alto Boa Vista";"MT";1;6983;14,3204926249463;10,7757009345794
"3107505";310750;"Bom Jardim de Minas";"MG";1;6459;15,4822727976467;10,712962962963
"4305132";430513;"Cerro Branco";"RS";1;4706;21,2494687632809;10,6989795918367
"2105005";210500;"Humberto de Campos";"MA";2;28932;6,91276095672612;10,5329117978283
"2107803";210780;"Parnarama";"MA";3;35008;8,56946983546618;10,5186951720466
"4114906";411490;"Marilândia do Sul";"PR";1;8814;11,3455865668255;10,5102880658436
"3113503";311350;"Carbonita";"MG";1;9414;10,6224771616741;10,3821138211382
"2103802";210380;"Dom Pedro";"MA";2;23372;8,55724798904672;10,3231285716666
"4116109";411610;"Moreira Sales";"PR";2;12042;16,608536787909;10,3145529367752
"3204807";320480;"São José do Calçado";"ES";1;10546;9,48226815854352;10,2333333333333
"3554953";355495;"Tuiuti";"SP";1;6977;14,3328077970474;10,0334928229665
"2509909";250990;"Natuba";"PB";1;10451;9,56846234810066;9,94555873925501
"2413003";241300;"São Vicente";"RN";1;6450;15,5038759689922;9,93838862559242
"2203453";220345;"Dom Inocêncio";"PI";1;9565;10,4547830632514;9,93374422187981
"3170008";317000;"Ubaí";"MG";1;12599;7,93713786808477;9,93374422187981
"4302659";430265;"Brochier";"RS";1;5104;19,5924764890282;9,92441860465116
"2100907";210090;"Araioses";"MA";4;46771;8,55230805413611;9,90816545969934
"1200336";120033;"Mâncio Lima";"AC";1;19311;5,17839573300192;9,82483370288248
"4117206";411720;"Nova Olímpia";"PR";1;5826;17,164435290079;9,79906542056075
"3130655";313065;"Indaiabira";"MG";1;7339;13,6258345823682;9,70833333333333
"2929404";292940;"São Miguel das Matas";"BA";1;11704;8,54408749145591;9,6117136659436
"3538204";353820;"Pinhalzinho";"SP";2;15388;12,9971406290616;9,37909642006213
"2111904";211190;"Sucupira do Norte";"MA";1;10634;9,40379913485048;9,32786885245902
"2100832";210083;"Apicum-Açu";"MA";1;17413;5,74283581232413;9,2787610619469
"2409704";240970;"Pedro Avelino";"RN";1;6653;15,0308131669923;9,2787610619469
"2511103";251110;"Pedra Lavrada";"PB";1;7899;12,6598303582732;9,2787610619469
"2409100";240910;"Passa e Fica";"RN";1;13474;7,42170105388155;9,18253968253968
"3148301";314830;"Paula Cândido";"MG";1;9584;10,4340567612688;9,06266318537859
"3128402";312840;"Guarani";"MG";1;8918;11,213276519399;8,94587628865979
"4110607";411060;"Iporã";"PR";2;13782;14,5116819039327;8,91064885432901
"5300108";530010;"Brasília";"DF";225;3055149;7,36461625930519;8,8744766143938
"4127809";412780;"Tomazina";"PR";1;7807;12,809017548354;8,83056478405316
"2925253";292525;"Ponto Novo";"BA";1;14819;6,74809366354005;8,7396449704142
"3129103";312910;"Gurinhatã";"MG";1;5577;17,9307871615564;8,59426229508197
"2902609";290260;"Baixa Grande";"BA";2;20449;9,78042936084894;8,55619139547711
"4304309";430430;"Cândido Godói";"RS";1;6151;16,2575191025849;8,49253731343284
"3106507";310650;"Berilo";"MG";1;11872;8,42318059299191;8,36732570239334
"3116100";311610;"Chapada do Norte";"MG";1;15345;6,5167807103291;7,94279176201373
"2915353";291535;"Itaguaçu da Bahia";"BA";1;14542;6,87663320038509;7,85393258426966
"2907558";290755;"Caturama";"BA";1;9316;10,7342206955775;7,7629179331307
"2607000";260700;"Inajá";"PE";1;23645;4,22922393740749;7,73298429319372
"2102507";210250;"Cajari";"MA";1;19451;5,14112384967354;7,71951219512195
"2926509";292650;"Ribeira do Amparo";"BA";1;14612;6,84369011771147;7,61157024793388
"2106607";210660;"Matões";"MA";2;33943;5,89223109330348;7,4985229083487
"3156007";315600;"Rio Vermelho";"MG";1;12739;7,84990972603815;7,33826638477801
"2902500";290250;"Baianópolis";"BA";1;13929;7,17926627898629;7,29714285714286
"4117222";411722;"Nova Santa Rosa";"PR";1;8266;12,0977498185338;7,28125
"2903607";290360;"Biritinga";"BA";1;15984;6,25625625625626;7,1158940397351
"2407401";240740;"Martins";"RN";1;8758;11,4181319936058;7,08445945945946
"2102705";210270;"Cantanhede";"MA";1;22117;4,5214088710042;6,87326732673267
"2911659";291165;"Guajeru";"BA";1;6646;15,0466445982546;6,85294117647059
"2901155";290115;"América Dourada";"BA";1;16090;6,21504039776259;6,16764705882353
"2925600";292560;"Presidente Dutra";"BA";1;15160;6,59630606860158;6,13942307692308
"4122156";412215;"Rio Bonito do Iguaçu";"PR";1;13255;7,54432289701999;6,12470023980815
"2106706";210670;"Mirador";"MA";1;21031;4,75488564500024;6,11370262390671
"2914109";291410;"Ipupiara";"BA";1;9911;10,0897992129957;6,11370262390671
"2108256";210825;"Pedro do Rosário";"MA";1;25354;3,94415082432752;6,03137651821862
"2901601";290160;"Antas";"BA";1;19479;5,13373376456697;6,00406504065041
"2932457";293245;"Umburanas";"BA";1;19402;5,15410782393568;5,88620689655172
"2911303";291130;"Gentio do Ouro";"BA";1;11259;8,88178346211919;5,72950819672131
"3126505";312650;"Francisco Badaró";"MG";1;10321;9,68898362561767;5,30886075949367
"2926103";292610;"Retirolândia";"BA";1;14495;6,89893066574681;5,27685950413223
"2107902";210790;"Passagem Franca";"MA";1;19137;5,22547943773841;5,26884422110553
"2929701";292970;"Sátiro Dias";"BA";1;17302;5,77967864986707;5,06528189910979
"2909604";290960;"Crisópolis";"BA";1;21163;4,72522799225063;4,84100418410042
"2112100";211210;"Timbiras";"MA";1;29183;3,42665250316965;4,41105354058722
"1200393";120039;"Porto Walter";"AC";NA;12241;NA;NA
"1200609";120060;"Tarauacá";"AC";NA;43151;NA;NA
"1703602";170360;"Brasilândia do Tocantins";"TO";NA;2211;NA;NA
"1710904";171090;"Itapiratins";"TO";NA;3795;NA;NA
"1712157";171215;"Lavandeira";"TO";NA;1954;NA;NA
"1712702";171270;"Mateiros";"TO";NA;2729;NA;NA
"1715507";171550;"Oliveira de Fátima";"TO";NA;1118;NA;NA
"1717008";171700;"Pindorama do Tocantins";"TO";NA;4430;NA;NA
"1720853";172085;"Sucupira";"TO";NA;1986;NA;NA
